Permission,Role,Role Type
aiplatform.entityTypes.readFeatureValues,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.entityTypes.readFeatureValues,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.entityTypes.readFeatureValues,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.entityTypes.readFeatureValues,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.entityTypes.setIamPolicy,Owner (roles/owner),Basics Role
aiplatform.entityTypes.setIamPolicy,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.entityTypes.setIamPolicy,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.entityTypes.setIamPolicy,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.entityTypes.setIamPolicy,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.entityTypes.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.entityTypes.setIamPolicy,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Owner (roles/owner),Basics Role
aiplatform.entityTypes.streamingReadFeatureValues,Editor (roles/editor),Basics Role
aiplatform.entityTypes.streamingReadFeatureValues,Viewer (roles/viewer),Basics Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Feature Store Data Viewer (roles/aiplatform.featurestoreDataViewer),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Feature Store Data Writer (roles/aiplatform.featurestoreDataWriter),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.entityTypes.streamingReadFeatureValues,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.entityTypes.update,Owner (roles/owner),Basics Role
aiplatform.entityTypes.update,Editor (roles/editor),Basics Role
aiplatform.entityTypes.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.entityTypes.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.entityTypes.update,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.entityTypes.update,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.entityTypes.update,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.entityTypes.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.entityTypes.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.entityTypes.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Owner (roles/owner),Basics Role
aiplatform.entityTypes.writeFeatureValues,Editor (roles/editor),Basics Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI Feature Store Data Writer (roles/aiplatform.featurestoreDataWriter),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.entityTypes.writeFeatureValues,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.executions.addExecutionEvents,Owner (roles/owner),Basics Role
aiplatform.executions.addExecutionEvents,Editor (roles/editor),Basics Role
aiplatform.executions.addExecutionEvents,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.executions.addExecutionEvents,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.executions.addExecutionEvents,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.executions.addExecutionEvents,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.executions.addExecutionEvents,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.executions.create,Owner (roles/owner),Basics Role
aiplatform.executions.create,Editor (roles/editor),Basics Role
aiplatform.executions.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.executions.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.executions.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.executions.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.executions.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.executions.delete,Owner (roles/owner),Basics Role
aiplatform.executions.delete,Editor (roles/editor),Basics Role
aiplatform.executions.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.executions.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.executions.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.executions.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.executions.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.executions.get,Owner (roles/owner),Basics Role
aiplatform.executions.get,Editor (roles/editor),Basics Role
aiplatform.executions.get,Viewer (roles/viewer),Basics Role
aiplatform.executions.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.executions.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.executions.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.executions.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.executions.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.executions.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.executions.list,Owner (roles/owner),Basics Role
aiplatform.executions.list,Editor (roles/editor),Basics Role
aiplatform.executions.list,Viewer (roles/viewer),Basics Role
aiplatform.executions.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.executions.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.executions.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.executions.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.executions.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.executions.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.executions.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.executions.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.executions.queryExecutionInputsAndOutputs,Owner (roles/owner),Basics Role
aiplatform.executions.queryExecutionInputsAndOutputs,Editor (roles/editor),Basics Role
aiplatform.executions.queryExecutionInputsAndOutputs,Viewer (roles/viewer),Basics Role
aiplatform.executions.queryExecutionInputsAndOutputs,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.executions.queryExecutionInputsAndOutputs,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.executions.queryExecutionInputsAndOutputs,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.executions.queryExecutionInputsAndOutputs,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.executions.queryExecutionInputsAndOutputs,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.executions.queryExecutionInputsAndOutputs,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.executions.update,Owner (roles/owner),Basics Role
aiplatform.executions.update,Editor (roles/editor),Basics Role
aiplatform.executions.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.executions.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.executions.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.executions.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.executions.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.features.create,Owner (roles/owner),Basics Role
aiplatform.features.create,Editor (roles/editor),Basics Role
aiplatform.features.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.features.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.features.create,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.features.create,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.features.create,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.features.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.features.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.features.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.features.delete,Owner (roles/owner),Basics Role
aiplatform.features.delete,Editor (roles/editor),Basics Role
aiplatform.features.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.features.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.features.delete,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.features.delete,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.features.delete,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.features.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.features.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.features.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.features.get,Owner (roles/owner),Basics Role
aiplatform.features.get,Editor (roles/editor),Basics Role
aiplatform.features.get,Viewer (roles/viewer),Basics Role
aiplatform.features.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.features.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.features.get,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.features.get,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.features.get,Vertex AI Feature Store Data Viewer (roles/aiplatform.featurestoreDataViewer),Predefined Role
aiplatform.features.get,Vertex AI Feature Store Data Writer (roles/aiplatform.featurestoreDataWriter),Predefined Role
aiplatform.features.get,Vertex AI Feature Store Resource Viewer (roles/aiplatform.featurestoreResourceViewer),Predefined Role
aiplatform.features.get,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.features.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.features.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.features.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.features.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.features.list,Owner (roles/owner),Basics Role
aiplatform.features.list,Editor (roles/editor),Basics Role
aiplatform.features.list,Viewer (roles/viewer),Basics Role
aiplatform.features.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.features.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.features.list,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.features.list,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.features.list,Vertex AI Feature Store Data Viewer (roles/aiplatform.featurestoreDataViewer),Predefined Role
aiplatform.features.list,Vertex AI Feature Store Data Writer (roles/aiplatform.featurestoreDataWriter),Predefined Role
aiplatform.features.list,Vertex AI Feature Store Resource Viewer (roles/aiplatform.featurestoreResourceViewer),Predefined Role
aiplatform.features.list,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.features.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.features.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.features.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.features.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.features.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.features.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.features.update,Owner (roles/owner),Basics Role
aiplatform.features.update,Editor (roles/editor),Basics Role
aiplatform.features.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.features.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.features.update,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.features.update,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.features.update,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.features.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.features.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.features.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Owner (roles/owner),Basics Role
aiplatform.featurestores.batchReadFeatureValues,Editor (roles/editor),Basics Role
aiplatform.featurestores.batchReadFeatureValues,Viewer (roles/viewer),Basics Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Feature Store EntityType owner (roles/aiplatform.entityTypeOwner),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Feature Store Data Viewer (roles/aiplatform.featurestoreDataViewer),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Feature Store Data Writer (roles/aiplatform.featurestoreDataWriter),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.batchReadFeatureValues,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.create,Owner (roles/owner),Basics Role
aiplatform.featurestores.create,Editor (roles/editor),Basics Role
aiplatform.featurestores.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.create,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.create,Vertex AI Feature Store Instance Creator (roles/aiplatform.featurestoreInstanceCreator),Predefined Role
aiplatform.featurestores.create,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.delete,Owner (roles/owner),Basics Role
aiplatform.featurestores.delete,Editor (roles/editor),Basics Role
aiplatform.featurestores.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.delete,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.delete,Vertex AI Feature Store Instance Creator (roles/aiplatform.featurestoreInstanceCreator),Predefined Role
aiplatform.featurestores.delete,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.exportFeatures,Owner (roles/owner),Basics Role
aiplatform.featurestores.exportFeatures,Editor (roles/editor),Basics Role
aiplatform.featurestores.exportFeatures,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.exportFeatures,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.exportFeatures,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.exportFeatures,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.exportFeatures,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.exportFeatures,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.exportFeatures,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.get,Owner (roles/owner),Basics Role
aiplatform.featurestores.get,Editor (roles/editor),Basics Role
aiplatform.featurestores.get,Viewer (roles/viewer),Basics Role
aiplatform.featurestores.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.get,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.get,Vertex AI Feature Store Instance Creator (roles/aiplatform.featurestoreInstanceCreator),Predefined Role
aiplatform.featurestores.get,Vertex AI Feature Store Resource Viewer (roles/aiplatform.featurestoreResourceViewer),Predefined Role
aiplatform.featurestores.get,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.featurestores.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.getIamPolicy,Owner (roles/owner),Basics Role
aiplatform.featurestores.getIamPolicy,Editor (roles/editor),Basics Role
aiplatform.featurestores.getIamPolicy,Viewer (roles/viewer),Basics Role
aiplatform.featurestores.getIamPolicy,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.getIamPolicy,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.getIamPolicy,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.featurestores.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.featurestores.getIamPolicy,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.importFeatures,Owner (roles/owner),Basics Role
aiplatform.featurestores.importFeatures,Editor (roles/editor),Basics Role
aiplatform.featurestores.importFeatures,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.importFeatures,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.importFeatures,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.importFeatures,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.importFeatures,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.importFeatures,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.importFeatures,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.list,Owner (roles/owner),Basics Role
aiplatform.featurestores.list,Editor (roles/editor),Basics Role
aiplatform.featurestores.list,Viewer (roles/viewer),Basics Role
aiplatform.featurestores.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.list,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.list,Vertex AI Feature Store Instance Creator (roles/aiplatform.featurestoreInstanceCreator),Predefined Role
aiplatform.featurestores.list,Vertex AI Feature Store Resource Viewer (roles/aiplatform.featurestoreResourceViewer),Predefined Role
aiplatform.featurestores.list,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.featurestores.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.featurestores.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.featurestores.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.readFeatures,Owner (roles/owner),Basics Role
aiplatform.featurestores.readFeatures,Editor (roles/editor),Basics Role
aiplatform.featurestores.readFeatures,Viewer (roles/viewer),Basics Role
aiplatform.featurestores.readFeatures,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.readFeatures,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.readFeatures,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.readFeatures,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.readFeatures,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.readFeatures,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.readFeatures,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.setIamPolicy,Owner (roles/owner),Basics Role
aiplatform.featurestores.setIamPolicy,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.setIamPolicy,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.setIamPolicy,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.featurestores.setIamPolicy,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.update,Owner (roles/owner),Basics Role
aiplatform.featurestores.update,Editor (roles/editor),Basics Role
aiplatform.featurestores.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.update,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.update,Vertex AI Feature Store Instance Creator (roles/aiplatform.featurestoreInstanceCreator),Predefined Role
aiplatform.featurestores.update,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.featurestores.writeFeatures,Owner (roles/owner),Basics Role
aiplatform.featurestores.writeFeatures,Editor (roles/editor),Basics Role
aiplatform.featurestores.writeFeatures,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.featurestores.writeFeatures,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.featurestores.writeFeatures,Vertex AI Feature Store Admin (roles/aiplatform.featurestoreAdmin),Predefined Role
aiplatform.featurestores.writeFeatures,Vertex AI Feature Store User (roles/aiplatform.featurestoreUser),Predefined Role
aiplatform.featurestores.writeFeatures,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.featurestores.writeFeatures,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.featurestores.writeFeatures,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.create,Owner (roles/owner),Basics Role
aiplatform.humanInTheLoops.create,Editor (roles/editor),Basics Role
aiplatform.humanInTheLoops.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.humanInTheLoops.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.humanInTheLoops.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.humanInTheLoops.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.delete,Owner (roles/owner),Basics Role
aiplatform.humanInTheLoops.delete,Editor (roles/editor),Basics Role
aiplatform.humanInTheLoops.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.humanInTheLoops.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.humanInTheLoops.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
